# opp_gamma, obs_gamma, live_gamma, liveness_thresh, goal_reach_idx0, goal_reach_idx1, traj_collision, obs_collision_0, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, 89.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0140, 5.1190, 6.0631
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.6000, 0.4000, 0.3000, 0.8000, 72.0000, 91.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0143, 5.1189, 6.3298
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.6000, 0.4000, 0.3000, 0.8000, 72.0000, 91.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0143, 5.1189, 6.3298
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.6000, 0.4000, 0.3000, 0.8000, 72.0000, 91.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0143, 5.1189, 6.3298
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.6000, 0.4000, 0.3000, 0.8000, 72.0000, 91.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0143, 5.1189, 6.3298
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.6000, 0.4000, 0.3000, 0.8000, 72.0000, 91.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0143, 5.1189, 6.3298
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.6000, 0.4000, 0.3000, 0.8000, 72.0000, 91.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0143, 5.1189, 6.3298
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.6000, 0.4000, 0.3000, 0.8000, 72.0000, 91.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0143, 5.1189, 6.3298
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.6000, 0.4000, 0.3000, 0.8000, 72.0000, 91.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0143, 5.1189, 6.3298
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.6000, 0.4000, 0.3000, 0.8000, 72.0000, 91.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0143, 5.1189, 6.3298
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.6000, 0.4000, 0.3000, 0.8000, 72.0000, 91.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0143, 5.1189, 6.3298
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.6000, 0.4000, 0.3000, 0.8000, 72.0000, 91.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0143, 5.1189, 6.3298
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.6000, 0.4000, 0.3000, 0.8000, 72.0000, 91.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0143, 5.1189, 6.3298
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.6000, 0.4000, 0.3000, 0.8000, 72.0000, 91.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0143, 5.1189, 6.3298
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.6000, 0.4000, 0.3000, 0.8000, 72.0000, 91.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0143, 5.1189, 6.3298
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.6000, 0.4000, 0.3000, 0.8000, 72.0000, 91.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0143, 5.1189, 6.3298
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.6000, 0.4000, 0.3000, 0.8000, 72.0000, 91.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0143, 5.1189, 6.3298
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.6000, 0.4000, 0.3000, 0.8000, 72.0000, 91.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0143, 5.1189, 6.3298
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.6000, 0.4000, 0.3000, 0.8000, 72.0000, 91.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0143, 5.1189, 6.3298
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.6000, 0.4000, 0.3000, 0.8000, 72.0000, 91.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0143, 5.1189, 6.3298
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.6000, 0.4000, 0.3000, 0.8000, 72.0000, 91.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0143, 5.1189, 6.3298
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.6000, 0.4000, 0.3000, 0.8000, 72.0000, 91.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0143, 5.1189, 6.3298
0.6000, 0.4000, 0.3000, 0.8000, 72.0000, 91.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0143, 5.1189, 6.3298
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.6000, 0.4000, 0.3000, 0.8000, 72.0000, 91.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0143, 5.1189, 6.3298
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.6000, 0.4000, 0.3000, 0.8000, 72.0000, 91.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0143, 5.1189, 6.3298
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.6000, 0.4000, 0.3000, 0.8000, 72.0000, 91.0000, 0.0000, 1.0000, 1.0000, 0.0105, 0.0143, 5.1189, 6.3298
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, 95.0000, 0.0000, 1.0000, 1.0000, 0.0101, 0.0146, 5.2403, 6.4238
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, 95.0000, 0.0000, 1.0000, 1.0000, 0.0101, 0.0146, 5.2403, 6.4238
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, 95.0000, 0.0000, 1.0000, 1.0000, 0.0101, 0.0146, 5.2403, 6.4238
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, 95.0000, 0.0000, 1.0000, 1.0000, 0.0101, 0.0146, 5.2403, 6.4238
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, 95.0000, 0.0000, 1.0000, 1.0000, 0.0101, 0.0146, 5.2403, 6.4238
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, 95.0000, 0.0000, 1.0000, 1.0000, 0.0101, 0.0146, 5.2403, 6.4238
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, 95.0000, 0.0000, 1.0000, 1.0000, 0.0101, 0.0146, 5.2403, 6.4238
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, 95.0000, 0.0000, 1.0000, 1.0000, 0.0101, 0.0146, 5.2403, 6.4238
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, 85.0000, 0.0000, 0.0000, 0.0000, 0.0110, 0.0136, 4.8702, 5.8078
